id,title,company,experience,salary,location,description,url,role,skills,posted_date,posted_date_cleaned,min_salary,max_salary,avg_salary,years_exp,clean_location,clean_skills
11,Data Analyst - L4,Wipro,5 - 8 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Hyderabad",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-l4-wipro-limited-hyderabad-5-to-8-years-250625927026,Data Analyst,N/A,5 days ago,2025-06-26,,,,6.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
12,BA / Data Analyst,Apptad,7 - 10 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Noida",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-ba-data-analyst-apptad-technologies-pvt-ltd-noida-7-to-10-years-300625913477,Data Analyst,N/A,1 day ago,2025-06-30,,,,8.5,"Chennai, Delhi, Hyderabad, Mumbai, Noida, Pune",
13,Client Data Analyst,JPMorgan Chase Bank,0 - 6 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru","Take a lead role in acquiring,  managing and retaining meaningful relationships that deliver outstanding experience to our customers",https://www.naukri.com/job-listings-client-data-analyst-jp-morgan-chase-bengaluru-0-to-6-years-180625501024,Data Analyst,"RED, Due diligence, Service level, Compliance, Analytical, Anti money laundering, Data Analyst, Customer service, Research, Auditing",1 week ago,2025-06-24,,,,3.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune","Red, Due Diligence, Service Level, Compliance, Analytical, Anti Money Laundering, Data Analyst, Customer Service, Research, Auditing"
14,Data Analyst,S&P Global Market Intelligence,2 - 6 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Gurugram, Bengaluru",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-sp-capital-iq-india-pvt-ltd-gurugram-bengaluru-2-to-6-years-260625928193,Data Analyst,N/A,4 days ago,2025-06-27,,,,4.0,"Bengaluru, Chennai, Delhi, Gurugram, Hyderabad, Mumbai, Pune",
15,Data Analyst,Virtusa,6 - 11 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-virtusa-consulting-services-pvt-ltd-bengaluru-6-to-11-years-270625920157,Data Analyst,N/A,4 days ago,2025-06-27,,,,8.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
16,Data Analyst,Apptad,4 - 8 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Noida",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-apptad-technologies-pvt-ltd-noida-4-to-8-years-300625913352,Data Analyst,N/A,1 day ago,2025-06-30,,,,6.0,"Chennai, Delhi, Hyderabad, Mumbai, Noida, Pune",
17,Data Analyst (Profisee - MDM),Rockwell Automation,0 - 7 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Noida, New Delhi, Pune, Bengaluru",read more,https://www.naukri.com/job-listings-data-analyst-profisee-mdm-rockwell-automation-noida-new-delhi-pune-bengaluru-0-to-7-years-270625503546,Data Analyst,"Computer science, Analytical skills, ERP, Automation, Change management, Industrial automation, Agile, Data quality, Product marketing, Monitoring",3 days ago,2025-06-28,,,,3.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Noida, Pune","Computer Science, Analytical Skills, Erp, Automation, Change Management, Industrial Automation, Agile, Data Quality, Product Marketing, Monitoring"
18,Data Analyst,Optimum Solutions,5 - 10 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Chennai, Bengaluru",,https://www.naukri.com/job-listings-data-analyst-optimum-solutions-chennai-bengaluru-5-to-10-years-010725014212,Data Analyst,N/A,Few hours ago,,,,,7.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
19,Data Analyst (Profisee - MDM),Rockwell Automation,0 - 7 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Noida, New Delhi, Pune, Chennai, Bengaluru",read more,https://www.naukri.com/job-listings-data-analyst-profisee-mdm-rockwell-automation-noida-new-delhi-pune-chennai-bengaluru-0-to-7-years-270625503545,Data Analyst,"Computer science, Analytical skills, Automation, ERP, Change management, Industrial automation, Agile, Data quality, Product marketing, Monitoring",3 days ago,2025-06-28,,,,3.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Noida, Pune","Computer Science, Analytical Skills, Automation, Erp, Change Management, Industrial Automation, Agile, Data Quality, Product Marketing, Monitoring"
20,Billops Data analyst,Infinite,0 - 5 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",read more,https://www.naukri.com/job-listings-billops-data-analyst-infinite-computer-solutions-india-pvt-ltd-bengaluru-0-to-5-years-170625503473,Data Analyst,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining, data integrity, dashboards, cleansing, sql, data cleansing, excel, tableau, quality assurance, advanced excel, data visualization, reporting",1 week ago,2025-06-24,,,,2.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune","Master Data, Metadata, Python, Data Analysis, Data Management, Data Analytics, Data Validation, Configuration, Data Mining, Data Integrity, Dashboards, Cleansing, Sql, Data Cleansing, Excel, Tableau, Quality Assurance, Advanced Excel, Data Visualization, Reporting"
21,Fresher/ Banking/ Data Analyst/ Excel/Bangalore/ Immediate,Posted by Teamware Solutions,0 years,2-2.75 Lacs P.A.,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",Dear Applicants!,https://www.naukri.com/job-listings-fresher-banking-data-analyst-excel-bangalore-immediate-teamware-solutions-bengaluru-0-to-0-years-260625937099,Data Analyst,N/A,4 days ago,2025-06-27,200000.0,275000.0,237500.0,0.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
22,Data Analyst/Fresher,Posted by Teamware Solutions,0 years,1-2.75 Lacs P.A.,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru","Job Title: Data AnalystLocation: RMZ Infinity, Bengaluru. Hybrid Working 3 days office and 2 days Work from homeLooking for Freshers with Any Graduates who are from Bangalore Location will be suitable for this roleRole is for the Data Solutions team which performs data cleanse before the assets are migrated from Legacy to CPQ.Job Role - Resources will be formally trained on how to perform certain checks between various systems viz., Siebel, Sales Force, SAP. They would need to analyse the gaps, errors and discrepancies and raise it with SoS teams to get the issues fixed. Likewise, they will also work on post migration related issues. They will also be trained on Order processing and fixing any discrepancies in the systems on the data errors.Drop your resumes to below Email ramizun.s@twsol.com",https://www.naukri.com/job-listings-data-analyst-fresher-teamware-solutions-bengaluru-0-to-0-years-260625937118,Data Analyst,N/A,4 days ago,2025-06-27,100000.0,275000.0,187500.0,0.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
23,Data Analyst,Apex 2000 INC,3 - 6 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-apex-2000-inc-bengaluru-3-to-6-years-280625501250,Data Analyst,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining, data integrity, dashboards, cleansing, sql, data cleansing, excel, tableau, quality assurance, advanced excel, data visualization, reporting",2 days ago,2025-06-29,,,,4.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune","Master Data, Metadata, Python, Data Analysis, Data Management, Data Analytics, Data Validation, Configuration, Data Mining, Data Integrity, Dashboards, Cleansing, Sql, Data Cleansing, Excel, Tableau, Quality Assurance, Advanced Excel, Data Visualization, Reporting"
24,Data Analyst - Tableau,KPI Partners,0 - 7 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Pune",read more,https://www.naukri.com/job-listings-data-analyst-tableau-kpi-partners-inc-pune-0-to-7-years-260625503645,Data Analyst,"Computer science, data cleansing, Data analysis, Data validation, Analytical, data governance, Data quality, Business intelligence, SQL, Python",4 days ago,2025-06-27,,,,3.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune","Computer Science, Data Cleansing, Data Analysis, Data Validation, Analytical, Data Governance, Data Quality, Business Intelligence, Sql, Python"
25,Data Analyst,Barclays,1 - 4 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Pune",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-barclays-shared-services-pune-1-to-4-years-270625504650,Data Analyst,"risk management, data quality, data analytics, data analysis, data management, data warehousing, regulatory reporting",3 days ago,2025-06-28,,,,2.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune","Risk Management, Data Quality, Data Analytics, Data Analysis, Data Management, Data Warehousing, Regulatory Reporting"
26,Data Analyst,Satin Creditcare Network,0 - 5 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Gurugram",Role - Data Analyst/Business Analyst,https://www.naukri.com/job-listings-data-analyst-satin-creditcare-network-gurugram-0-to-5-years-250625021571,Data Analyst,N/A,6 days ago,2025-06-25,,,,2.5,"Chennai, Delhi, Gurugram, Hyderabad, Mumbai, Pune",
27,Data Analyst - Tariff Ops,Arcadia,0 - 3 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Chennai",Apart from Fixed Base Salary potential candidates are eligible for following benefits,https://www.naukri.com/job-listings-data-analyst-tariff-ops-arcadia-chennai-0-to-3-years-240625506469,Data Analyst,"SQL queries, Data analysis, Excel, Analog, Billing, Data Analyst, Medical insurance, Troubleshooting, Monitoring, Customer interaction",6 days ago,2025-06-25,,,,1.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune","Sql Queries, Data Analysis, Excel, Analog, Billing, Data Analyst, Medical Insurance, Troubleshooting, Monitoring, Customer Interaction"
28,Data Analyst - Tariff Ops,Arcadia,0 - 3 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Chennai",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-tariff-ops-arcadia-chennai-0-to-3-years-240625504529,Data Analyst,"SQL queries, Data analysis, Excel, Analog, Billing, Data Analyst, Medical insurance, Troubleshooting, Monitoring, Customer interaction",6 days ago,2025-06-25,,,,1.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune","Sql Queries, Data Analysis, Excel, Analog, Billing, Data Analyst, Medical Insurance, Troubleshooting, Monitoring, Customer Interaction"
29,Data Analyst,Aye Finance,0 - 5 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Gurugram",Role & responsibilities,https://www.naukri.com/job-listings-data-analyst-aye-finance-gurugram-0-to-5-years-260625034477,Data Analyst,N/A,4 days ago,2025-06-27,,,,2.5,"Chennai, Delhi, Gurugram, Hyderabad, Mumbai, Pune",
30,Data Analyst,JATO Dynamics Ltd,0 - 2 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, New Delhi",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-jato-dynamics-ltd-new-delhi-0-to-2-years-270625504965,Data Analyst,"python, tableau, data analysis, data management, power bi, data visualization, sql",3 days ago,2025-06-28,,,,1.0,"Chennai, Delhi, Hyderabad, Mumbai, Pune","Python, Tableau, Data Analysis, Data Management, Power Bi, Data Visualization, Sql"
31,Data Analyst,Ganesh Diagnostic & Imaging Centre,3 - 8 years,4-6 Lacs P.A.,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, New Delhi( Rohini )","Contact: Dr. Ravin Sharma (MBBS, MD Radiology) Interested consultant please send your updated cv on director@ganeshdiagnostic.com and WhatsApp/ Call on 9212125996",https://www.naukri.com/job-listings-data-analyst-ganesh-diagnostic-imaging-centre-new-delhi-3-to-8-years-290625003366,Data Analyst,N/A,2 days ago,2025-06-29,400000.0,600000.0,500000.0,5.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
32,Data Analyst,WebBee,1 - 3 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Noida",JOB DESCRIPTION FOR DATA ANALYST,https://www.naukri.com/job-listings-data-analyst-webbee-noida-1-to-3-years-010725013725,Data Analyst,N/A,Few hours ago,,,,,2.0,"Chennai, Delhi, Hyderabad, Mumbai, Noida, Pune",
33,Data Analyst,S&P Global Market Intelligence,2 - 6 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Hyderabad, Gurugram",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-sp-capital-iq-india-pvt-ltd-hyderabad-gurugram-2-to-6-years-270625925613,Data Analyst,N/A,4 days ago,2025-06-27,,,,4.0,"Chennai, Delhi, Gurugram, Hyderabad, Mumbai, Pune",
34,Data Analyst - PMJAY | NHA,National Institute for Smart Government (NISG),5 - 10 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, New Delhi","Position Name: Data Analyst AB-PMJAY, NHA",https://www.naukri.com/job-listings-data-analyst-pmjay-nha-national-institute-for-smart-government-nisg-new-delhi-5-to-10-years-020125010231,Data Analyst,N/A,4 days ago,2025-06-27,,,,7.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
35,Data Analyst,Virtusa,7 - 12 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Hyderabad",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-virtusa-consulting-services-pvt-ltd-hyderabad-7-to-12-years-270625920760,Data Analyst,N/A,4 days ago,2025-06-27,,,,9.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
36,Data Analyst,Virtusa,9 - 14 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Hyderabad",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-virtusa-consulting-services-pvt-ltd-hyderabad-9-to-14-years-270625920726,Data Analyst,N/A,4 days ago,2025-06-27,,,,11.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
37,Data Analyst,Virtusa,8 - 13 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Hyderabad",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-virtusa-consulting-services-pvt-ltd-hyderabad-8-to-13-years-270625920440,Data Analyst,N/A,4 days ago,2025-06-27,,,,10.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
38,Data Analyst - ABDM | NHA,National Institute for Smart Government (NISG),4 - 9 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, New Delhi","Position Name: Data Analyst ABDM, NHA",https://www.naukri.com/job-listings-data-analyst-abdm-nha-national-institute-for-smart-government-nisg-new-delhi-4-to-9-years-080525006314,Data Analyst,N/A,4 days ago,2025-06-27,,,,6.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
39,BA Data Analyst (P&C),Virtusa,9 - 14 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Hyderabad",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-ba-data-analyst-p-c-virtusa-consulting-services-pvt-ltd-hyderabad-9-to-14-years-270625921616,Data Analyst,N/A,4 days ago,2025-06-27,,,,11.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
